interacting_pair	variable	pvalue	mean	part1	part2	tissue
C3_C3AR1	FibSmo.Mac	0	0.494	FibSmo	Mac	Bladder
C5AR1_RPS19	DC.BEC	0.015	1.925	DC	BEC	Bladder
C5AR1_RPS19	DC.DC	0	2.211	DC	DC	Bladder
C5AR1_RPS19	DC.Epithelial_S100P_high	0	2.028	DC	Epithelial_S100P_high	Bladder
C5AR1_RPS19	DC.Memory_B	0	2.456	DC	Memory_B	Bladder
C5AR1_RPS19	DC.Mon	0.016	1.938	DC	Mon	Bladder
C5AR1_RPS19	DC.NK	0	2.192	DC	NK	Bladder
C5AR1_RPS19	DC.TEFF_CD8	0	2.249	DC	TEFF_CD8	Bladder
C5AR1_RPS19	DC.TRM_CD4	0	2.471	DC	TRM_CD4	Bladder
C5AR1_RPS19	DC.TRM_CD8	0	2.377	DC	TRM_CD8	Bladder
C5AR1_RPS19	Mac.BEC	0	2.136	Mac	BEC	Bladder
C5AR1_RPS19	Mac.DC	0	2.422	Mac	DC	Bladder
C5AR1_RPS19	Mac.Epithelial_S100P_high	0	2.238	Mac	Epithelial_S100P_high	Bladder
C5AR1_RPS19	Mac.Fib	0	2.036	Mac	Fib	Bladder
C5AR1_RPS19	Mac.FibSmo	0	2.04	Mac	FibSmo	Bladder
C5AR1_RPS19	Mac.Mac	0	2.117	Mac	Mac	Bladder
C5AR1_RPS19	Mac.Memory_B	0	2.667	Mac	Memory_B	Bladder
C5AR1_RPS19	Mac.Mon	0	2.149	Mac	Mon	Bladder
C5AR1_RPS19	Mac.NK	0	2.403	Mac	NK	Bladder
C5AR1_RPS19	Mac.Smo	0	1.969	Mac	Smo	Bladder
C5AR1_RPS19	Mac.TEFF_CD8	0	2.46	Mac	TEFF_CD8	Bladder
C5AR1_RPS19	Mac.TRM_CD4	0	2.682	Mac	TRM_CD4	Bladder
C5AR1_RPS19	Mac.TRM_CD8	0	2.588	Mac	TRM_CD8	Bladder
C5AR1_RPS19	Mon.BEC	0	2.34	Mon	BEC	Bladder
C5AR1_RPS19	Mon.DC	0	2.625	Mon	DC	Bladder
C5AR1_RPS19	Mon.Epithelial_S100P_high	0	2.442	Mon	Epithelial_S100P_high	Bladder
C5AR1_RPS19	Mon.Fib	0	2.239	Mon	Fib	Bladder
C5AR1_RPS19	Mon.FibSmo	0	2.244	Mon	FibSmo	Bladder
C5AR1_RPS19	Mon.Mac	0	2.321	Mon	Mac	Bladder
C5AR1_RPS19	Mon.Memory_B	0	2.871	Mon	Memory_B	Bladder
C5AR1_RPS19	Mon.Mon	0	2.353	Mon	Mon	Bladder
C5AR1_RPS19	Mon.NK	0	2.606	Mon	NK	Bladder
C5AR1_RPS19	Mon.Smo	0	2.173	Mon	Smo	Bladder
C5AR1_RPS19	Mon.TEFF_CD8	0	2.664	Mon	TEFF_CD8	Bladder
C5AR1_RPS19	Mon.TRM_CD4	0	2.885	Mon	TRM_CD4	Bladder
C5AR1_RPS19	Mon.TRM_CD8	0	2.792	Mon	TRM_CD8	Bladder
CCL2_ACKR1	BEC.BEC	0	1.372	BEC	BEC	Bladder
CCL2_ACKR1	Fib.BEC	0	1.718	Fib	BEC	Bladder
CCL2_ACKR1	FibSmo.BEC	0	1.388	FibSmo	BEC	Bladder
CCL2_ACKR1	Mac.BEC	0	1.384	Mac	BEC	Bladder
CCL2_ACKR1	Smo.BEC	0	1.92	Smo	BEC	Bladder
CCL5_ACKR1	NK.BEC	0	2.417	NK	BEC	Bladder
CCL5_ACKR1	TEFF_CD8.BEC	0	2.625	TEFF_CD8	BEC	Bladder
CCL5_ACKR1	TRM_CD4.BEC	0	1.697	TRM_CD4	BEC	Bladder
CCL5_ACKR1	TRM_CD8.BEC	0	2.665	TRM_CD8	BEC	Bladder
CD40_TNFSF13B	FibSmo.DC	0	0.503	FibSmo	DC	Bladder
CD40_TNFSF13B	FibSmo.Mac	0	0.547	FibSmo	Mac	Bladder
CD40_TNFSF13B	FibSmo.Mon	0	0.707	FibSmo	Mon	Bladder
CD40_TNFSF13B	Memory_B.DC	0	0.375	Memory_B	DC	Bladder
CD40_TNFSF13B	Memory_B.Mac	0	0.418	Memory_B	Mac	Bladder
CD40_TNFSF13B	Memory_B.Mon	0	0.578	Memory_B	Mon	Bladder
CD44_HBEGF	DC.BEC	0.014	0.623	DC	BEC	Bladder
CD44_HBEGF	DC.DC	0	0.94	DC	DC	Bladder
CD44_HBEGF	DC.Mac	0	0.89	DC	Mac	Bladder
CD44_HBEGF	DC.Mon	0	0.89	DC	Mon	Bladder
CD44_HBEGF	Epithelial_S100P_high.DC	0	0.919	Epithelial_S100P_high	DC	Bladder
CD44_HBEGF	Epithelial_S100P_high.Mac	0	0.87	Epithelial_S100P_high	Mac	Bladder
CD44_HBEGF	Epithelial_S100P_high.Mon	0	0.869	Epithelial_S100P_high	Mon	Bladder
CD44_HBEGF	Fib.DC	0	0.839	Fib	DC	Bladder
CD44_HBEGF	Fib.Mac	0	0.79	Fib	Mac	Bladder
CD44_HBEGF	Fib.Mon	0	0.79	Fib	Mon	Bladder
CD44_HBEGF	Mac.DC	0	0.861	Mac	DC	Bladder
CD44_HBEGF	Mac.Mac	0	0.811	Mac	Mac	Bladder
CD44_HBEGF	Mac.Mon	0	0.811	Mac	Mon	Bladder
CD44_HBEGF	Memory_B.DC	0	0.806	Memory_B	DC	Bladder
CD44_HBEGF	Memory_B.Mac	0	0.757	Memory_B	Mac	Bladder
CD44_HBEGF	Memory_B.Mon	0	0.756	Memory_B	Mon	Bladder
CD44_HBEGF	Mon.BEC	0	1.116	Mon	BEC	Bladder
CD44_HBEGF	Mon.DC	0	1.432	Mon	DC	Bladder
CD44_HBEGF	Mon.Epithelial_S100P_high	0	1.007	Mon	Epithelial_S100P_high	Bladder
CD44_HBEGF	Mon.Mac	0	1.383	Mon	Mac	Bladder
CD44_HBEGF	Mon.Mon	0	1.383	Mon	Mon	Bladder
CD44_HBEGF	NK.DC	0	0.815	NK	DC	Bladder
CD44_HBEGF	NK.Mac	0	0.766	NK	Mac	Bladder
CD44_HBEGF	NK.Mon	0	0.766	NK	Mon	Bladder
CD44_HBEGF	Smo.DC	0	0.908	Smo	DC	Bladder
CD44_HBEGF	Smo.Mac	0	0.858	Smo	Mac	Bladder
CD44_HBEGF	Smo.Mon	0	0.858	Smo	Mon	Bladder
CD44_HBEGF	TEFF_CD8.BEC	0	0.746	TEFF_CD8	BEC	Bladder
CD44_HBEGF	TEFF_CD8.DC	0	1.063	TEFF_CD8	DC	Bladder
CD44_HBEGF	TEFF_CD8.Epithelial_S100P_high	0.047	0.638	TEFF_CD8	Epithelial_S100P_high	Bladder
CD44_HBEGF	TEFF_CD8.Mac	0	1.014	TEFF_CD8	Mac	Bladder
CD44_HBEGF	TEFF_CD8.Mon	0	1.013	TEFF_CD8	Mon	Bladder
CD44_HBEGF	TRM_CD4.BEC	0	0.674	TRM_CD4	BEC	Bladder
CD44_HBEGF	TRM_CD4.DC	0	0.991	TRM_CD4	DC	Bladder
CD44_HBEGF	TRM_CD4.Mac	0	0.942	TRM_CD4	Mac	Bladder
CD44_HBEGF	TRM_CD4.Mon	0	0.941	TRM_CD4	Mon	Bladder
CD44_HBEGF	TRM_CD8.BEC	0	0.662	TRM_CD8	BEC	Bladder
CD44_HBEGF	TRM_CD8.DC	0	0.979	TRM_CD8	DC	Bladder
CD44_HBEGF	TRM_CD8.Mac	0	0.93	TRM_CD8	Mac	Bladder
CD44_HBEGF	TRM_CD8.Mon	0	0.929	TRM_CD8	Mon	Bladder
CD44_SELE	DC.BEC	0	0.843	DC	BEC	Bladder
CD44_SELE	Epithelial_S100P_high.BEC	0	0.822	Epithelial_S100P_high	BEC	Bladder
CD44_SELE	Fib.BEC	0	0.743	Fib	BEC	Bladder
CD44_SELE	Mac.BEC	0	0.764	Mac	BEC	Bladder
CD44_SELE	Memory_B.BEC	0	0.709	Memory_B	BEC	Bladder
CD44_SELE	Mon.BEC	0	1.335	Mon	BEC	Bladder
CD44_SELE	NK.BEC	0	0.718	NK	BEC	Bladder
CD44_SELE	Smo.BEC	0	0.811	Smo	BEC	Bladder
CD44_SELE	TEFF_CD8.BEC	0	0.966	TEFF_CD8	BEC	Bladder
CD44_SELE	TRM_CD4.BEC	0	0.894	TRM_CD4	BEC	Bladder
CD44_SELE	TRM_CD8.BEC	0	0.882	TRM_CD8	BEC	Bladder
CD46_JAG1	BEC.Epithelial_S100P_high	0	0.465	BEC	Epithelial_S100P_high	Bladder
CD46_JAG1	BEC.Smo	0	0.846	BEC	Smo	Bladder
CD46_JAG1	DC.Epithelial_S100P_high	0.032	0.381	DC	Epithelial_S100P_high	Bladder
CD46_JAG1	DC.Smo	0	0.762	DC	Smo	Bladder
CD46_JAG1	Epithelial_S100P_high.Epithelial_S100P_high	0	0.792	Epithelial_S100P_high	Epithelial_S100P_high	Bladder
CD46_JAG1	Epithelial_S100P_high.Smo	0	1.173	Epithelial_S100P_high	Smo	Bladder
CD46_JAG1	FibSmo.Epithelial_S100P_high	0	0.438	FibSmo	Epithelial_S100P_high	Bladder
CD46_JAG1	FibSmo.Smo	0	0.819	FibSmo	Smo	Bladder
CD46_JAG1	Mac.Smo	0	0.757	Mac	Smo	Bladder
CD46_JAG1	Mon.Smo	0	0.77	Mon	Smo	Bladder
CD46_JAG1	Smo.Epithelial_S100P_high	0.048	0.401	Smo	Epithelial_S100P_high	Bladder
CD46_JAG1	Smo.Smo	0	0.783	Smo	Smo	Bladder
CD55_ADGRE5	BEC.NK	0	0.66	BEC	NK	Bladder
CD55_ADGRE5	DC.DC	0	0.642	DC	DC	Bladder
CD55_ADGRE5	DC.Mon	0	0.752	DC	Mon	Bladder
CD55_ADGRE5	DC.NK	0	0.922	DC	NK	Bladder
CD55_ADGRE5	DC.TRM_CD4	0	0.72	DC	TRM_CD4	Bladder
CD55_ADGRE5	DC.TRM_CD8	0	0.742	DC	TRM_CD8	Bladder
CD55_ADGRE5	Epithelial_S100P_high.DC	0	0.647	Epithelial_S100P_high	DC	Bladder
CD55_ADGRE5	Epithelial_S100P_high.Mon	0	0.757	Epithelial_S100P_high	Mon	Bladder
CD55_ADGRE5	Epithelial_S100P_high.NK	0	0.927	Epithelial_S100P_high	NK	Bladder
CD55_ADGRE5	Epithelial_S100P_high.TRM_CD4	0	0.725	Epithelial_S100P_high	TRM_CD4	Bladder
CD55_ADGRE5	Epithelial_S100P_high.TRM_CD8	0	0.747	Epithelial_S100P_high	TRM_CD8	Bladder
CD55_ADGRE5	Fib.NK	0	0.741	Fib	NK	Bladder
CD55_ADGRE5	FibSmo.NK	0	0.641	FibSmo	NK	Bladder
CD55_ADGRE5	Mac.NK	0	0.657	Mac	NK	Bladder
CD55_ADGRE5	Memory_B.DC	0	0.708	Memory_B	DC	Bladder
CD55_ADGRE5	Memory_B.Mon	0	0.818	Memory_B	Mon	Bladder
CD55_ADGRE5	Memory_B.NK	0	0.988	Memory_B	NK	Bladder
CD55_ADGRE5	Memory_B.TRM_CD4	0	0.786	Memory_B	TRM_CD4	Bladder
CD55_ADGRE5	Memory_B.TRM_CD8	0	0.808	Memory_B	TRM_CD8	Bladder
CD55_ADGRE5	Mon.DC	0	1.009	Mon	DC	Bladder
CD55_ADGRE5	Mon.Mon	0	1.12	Mon	Mon	Bladder
CD55_ADGRE5	Mon.NK	0	1.29	Mon	NK	Bladder
CD55_ADGRE5	Mon.TRM_CD4	0	1.088	Mon	TRM_CD4	Bladder
CD55_ADGRE5	Mon.TRM_CD8	0	1.109	Mon	TRM_CD8	Bladder
CD55_ADGRE5	TEFF_CD8.NK	0	0.727	TEFF_CD8	NK	Bladder
CD55_ADGRE5	TRM_CD4.Mon	0.048	0.566	TRM_CD4	Mon	Bladder
CD55_ADGRE5	TRM_CD4.NK	0	0.737	TRM_CD4	NK	Bladder
CD55_ADGRE5	TRM_CD8.DC	0	0.664	TRM_CD8	DC	Bladder
CD55_ADGRE5	TRM_CD8.Mon	0	0.774	TRM_CD8	Mon	Bladder
CD55_ADGRE5	TRM_CD8.NK	0	0.944	TRM_CD8	NK	Bladder
CD55_ADGRE5	TRM_CD8.TRM_CD4	0	0.742	TRM_CD8	TRM_CD4	Bladder
CD55_ADGRE5	TRM_CD8.TRM_CD8	0	0.764	TRM_CD8	TRM_CD8	Bladder
CD6_ALCAM	TEFF_CD8.DC	0	0.381	TEFF_CD8	DC	Bladder
CD6_ALCAM	TRM_CD4.DC	0	0.424	TRM_CD4	DC	Bladder
CD74_APP	BEC.BEC	0	3.167	BEC	BEC	Bladder
CD74_APP	BEC.Epithelial_S100P_high	0	2.747	BEC	Epithelial_S100P_high	Bladder
CD74_APP	BEC.Fib	0	2.919	BEC	Fib	Bladder
CD74_APP	BEC.FibSmo	0	3.042	BEC	FibSmo	Bladder
CD74_APP	BEC.Smo	0	2.734	BEC	Smo	Bladder
CD74_APP	DC.BEC	0	3.6	DC	BEC	Bladder
CD74_APP	DC.Epithelial_S100P_high	0	3.18	DC	Epithelial_S100P_high	Bladder
CD74_APP	DC.Fib	0	3.352	DC	Fib	Bladder
CD74_APP	DC.FibSmo	0	3.474	DC	FibSmo	Bladder
CD74_APP	DC.Smo	0	3.166	DC	Smo	Bladder
CD74_APP	Mac.BEC	0	2.794	Mac	BEC	Bladder
CD74_APP	Mac.Epithelial_S100P_high	0	2.374	Mac	Epithelial_S100P_high	Bladder
CD74_APP	Mac.Fib	0	2.546	Mac	Fib	Bladder
CD74_APP	Mac.FibSmo	0	2.669	Mac	FibSmo	Bladder
CD74_APP	Mac.Smo	0	2.361	Mac	Smo	Bladder
CD74_APP	Memory_B.BEC	0	3.222	Memory_B	BEC	Bladder
CD74_APP	Memory_B.Epithelial_S100P_high	0	2.803	Memory_B	Epithelial_S100P_high	Bladder
CD74_APP	Memory_B.Fib	0	2.975	Memory_B	Fib	Bladder
CD74_APP	Memory_B.FibSmo	0	3.097	Memory_B	FibSmo	Bladder
CD74_APP	Memory_B.Smo	0	2.789	Memory_B	Smo	Bladder
CD74_APP	Mon.BEC	0	2.461	Mon	BEC	Bladder
CD74_APP	Mon.Epithelial_S100P_high	0	2.041	Mon	Epithelial_S100P_high	Bladder
CD74_APP	Mon.Fib	0	2.213	Mon	Fib	Bladder
CD74_APP	Mon.FibSmo	0	2.335	Mon	FibSmo	Bladder
CD74_APP	Mon.Smo	0	2.027	Mon	Smo	Bladder
CD74_APP	NK.BEC	0	1.893	NK	BEC	Bladder
CD74_APP	NK.Fib	0.015	1.645	NK	Fib	Bladder
CD74_APP	NK.FibSmo	0	1.767	NK	FibSmo	Bladder
CD74_APP	TEFF_CD8.BEC	0	1.81	TEFF_CD8	BEC	Bladder
CD74_APP	TEFF_CD8.Fib	0.045	1.562	TEFF_CD8	Fib	Bladder
CD74_APP	TEFF_CD8.FibSmo	0	1.685	TEFF_CD8	FibSmo	Bladder
CD74_COPA	BEC.Mon	0	2.485	BEC	Mon	Bladder
CD74_COPA	DC.Mon	0	2.917	DC	Mon	Bladder
CD74_COPA	Mac.Mon	0	2.112	Mac	Mon	Bladder
CD74_COPA	Memory_B.Mon	0	2.54	Memory_B	Mon	Bladder
CD74_COPA	Mon.Mon	0	1.778	Mon	Mon	Bladder
CD74_MIF	BEC.BEC	0	2.983	BEC	BEC	Bladder
CD74_MIF	BEC.DC	0	2.904	BEC	DC	Bladder
CD74_MIF	BEC.Epithelial_S100P_high	0	3.329	BEC	Epithelial_S100P_high	Bladder
CD74_MIF	BEC.Fib	0	3.133	BEC	Fib	Bladder
CD74_MIF	BEC.FibSmo	0	3.291	BEC	FibSmo	Bladder
CD74_MIF	BEC.Mac	0	3	BEC	Mac	Bladder
CD74_MIF	BEC.Memory_B	0	2.954	BEC	Memory_B	Bladder
CD74_MIF	BEC.Mon	0	2.812	BEC	Mon	Bladder
CD74_MIF	BEC.NK	0	3.049	BEC	NK	Bladder
CD74_MIF	BEC.Smo	0	3.109	BEC	Smo	Bladder
CD74_MIF	BEC.TEFF_CD8	0	3.206	BEC	TEFF_CD8	Bladder
CD74_MIF	BEC.TRM_CD4	0	3.241	BEC	TRM_CD4	Bladder
CD74_MIF	BEC.TRM_CD8	0	3.058	BEC	TRM_CD8	Bladder
CD74_MIF	DC.BEC	0	3.416	DC	BEC	Bladder
CD74_MIF	DC.DC	0	3.336	DC	DC	Bladder
CD74_MIF	DC.Epithelial_S100P_high	0	3.762	DC	Epithelial_S100P_high	Bladder
CD74_MIF	DC.Fib	0	3.566	DC	Fib	Bladder
CD74_MIF	DC.FibSmo	0	3.723	DC	FibSmo	Bladder
CD74_MIF	DC.Mac	0	3.433	DC	Mac	Bladder
CD74_MIF	DC.Memory_B	0	3.387	DC	Memory_B	Bladder
CD74_MIF	DC.Mon	0	3.244	DC	Mon	Bladder
CD74_MIF	DC.NK	0	3.482	DC	NK	Bladder
CD74_MIF	DC.Smo	0	3.542	DC	Smo	Bladder
CD74_MIF	DC.TEFF_CD8	0	3.639	DC	TEFF_CD8	Bladder
CD74_MIF	DC.TRM_CD4	0	3.674	DC	TRM_CD4	Bladder
CD74_MIF	DC.TRM_CD8	0	3.491	DC	TRM_CD8	Bladder
CD74_MIF	Mac.BEC	0	2.61	Mac	BEC	Bladder
CD74_MIF	Mac.DC	0	2.531	Mac	DC	Bladder
CD74_MIF	Mac.Epithelial_S100P_high	0	2.956	Mac	Epithelial_S100P_high	Bladder
CD74_MIF	Mac.Fib	0	2.76	Mac	Fib	Bladder
CD74_MIF	Mac.FibSmo	0	2.918	Mac	FibSmo	Bladder
CD74_MIF	Mac.Mac	0	2.627	Mac	Mac	Bladder
CD74_MIF	Mac.Memory_B	0	2.581	Mac	Memory_B	Bladder
CD74_MIF	Mac.Mon	0	2.439	Mac	Mon	Bladder
CD74_MIF	Mac.NK	0	2.676	Mac	NK	Bladder
CD74_MIF	Mac.Smo	0	2.736	Mac	Smo	Bladder
CD74_MIF	Mac.TEFF_CD8	0	2.833	Mac	TEFF_CD8	Bladder
CD74_MIF	Mac.TRM_CD4	0	2.868	Mac	TRM_CD4	Bladder
CD74_MIF	Mac.TRM_CD8	0	2.685	Mac	TRM_CD8	Bladder
CD74_MIF	Memory_B.BEC	0	3.038	Memory_B	BEC	Bladder
CD74_MIF	Memory_B.DC	0	2.959	Memory_B	DC	Bladder
CD74_MIF	Memory_B.Epithelial_S100P_high	0	3.384	Memory_B	Epithelial_S100P_high	Bladder
CD74_MIF	Memory_B.Fib	0	3.188	Memory_B	Fib	Bladder
CD74_MIF	Memory_B.FibSmo	0	3.346	Memory_B	FibSmo	Bladder
CD74_MIF	Memory_B.Mac	0	3.055	Memory_B	Mac	Bladder
CD74_MIF	Memory_B.Memory_B	0	3.009	Memory_B	Memory_B	Bladder
CD74_MIF	Memory_B.Mon	0	2.867	Memory_B	Mon	Bladder
CD74_MIF	Memory_B.NK	0	3.104	Memory_B	NK	Bladder
CD74_MIF	Memory_B.Smo	0	3.164	Memory_B	Smo	Bladder
CD74_MIF	Memory_B.TEFF_CD8	0	3.262	Memory_B	TEFF_CD8	Bladder
CD74_MIF	Memory_B.TRM_CD4	0	3.296	Memory_B	TRM_CD4	Bladder
CD74_MIF	Memory_B.TRM_CD8	0	3.113	Memory_B	TRM_CD8	Bladder
CD74_MIF	Mon.BEC	0	2.276	Mon	BEC	Bladder
CD74_MIF	Mon.DC	0	2.197	Mon	DC	Bladder
CD74_MIF	Mon.Epithelial_S100P_high	0	2.623	Mon	Epithelial_S100P_high	Bladder
CD74_MIF	Mon.Fib	0	2.427	Mon	Fib	Bladder
CD74_MIF	Mon.FibSmo	0	2.584	Mon	FibSmo	Bladder
CD74_MIF	Mon.Mac	0	2.294	Mon	Mac	Bladder
CD74_MIF	Mon.Memory_B	0	2.248	Mon	Memory_B	Bladder
CD74_MIF	Mon.Mon	0	2.105	Mon	Mon	Bladder
CD74_MIF	Mon.NK	0	2.342	Mon	NK	Bladder
CD74_MIF	Mon.Smo	0	2.403	Mon	Smo	Bladder
CD74_MIF	Mon.TEFF_CD8	0	2.5	Mon	TEFF_CD8	Bladder
CD74_MIF	Mon.TRM_CD4	0	2.535	Mon	TRM_CD4	Bladder
CD74_MIF	Mon.TRM_CD8	0	2.352	Mon	TRM_CD8	Bladder
CD8 receptor_LCK	TEFF_CD8.NK	0	0.747	TEFF_CD8	NK	Bladder
CD8 receptor_LCK	TEFF_CD8.TEFF_CD8	0	0.708	TEFF_CD8	TEFF_CD8	Bladder
CD8 receptor_LCK	TEFF_CD8.TRM_CD4	0	0.643	TEFF_CD8	TRM_CD4	Bladder
CD8 receptor_LCK	TEFF_CD8.TRM_CD8	0	0.664	TEFF_CD8	TRM_CD8	Bladder
CD8 receptor_LCK	TRM_CD8.NK	0	0.772	TRM_CD8	NK	Bladder
CD8 receptor_LCK	TRM_CD8.TEFF_CD8	0	0.733	TRM_CD8	TEFF_CD8	Bladder
CD8 receptor_LCK	TRM_CD8.TRM_CD4	0	0.668	TRM_CD8	TRM_CD4	Bladder
CD8 receptor_LCK	TRM_CD8.TRM_CD8	0	0.69	TRM_CD8	TRM_CD8	Bladder
CD99_PILRA	Fib.Mac	0	1.315	Fib	Mac	Bladder
CD99_PILRA	FibSmo.Mac	0	1.029	FibSmo	Mac	Bladder
CD99_PILRA	Mac.Mac	0	0.813	Mac	Mac	Bladder
CD99_PILRA	NK.Mac	0	1.004	NK	Mac	Bladder
CD99_PILRA	Smo.Mac	0	0.82	Smo	Mac	Bladder
CD99_PILRA	TEFF_CD8.Mac	0	0.825	TEFF_CD8	Mac	Bladder
CDH1_a2b1 complex	Epithelial_S100P_high.Epithelial_S100P_high	0	0.335	Epithelial_S100P_high	Epithelial_S100P_high	Bladder
CDH1_KLRG1	Epithelial_S100P_high.NK	0	0.439	Epithelial_S100P_high	NK	Bladder
CDH1_KLRG1	Epithelial_S100P_high.TEFF_CD8	0	0.437	Epithelial_S100P_high	TEFF_CD8	Bladder
CLEC2B_KLRF1	BEC.NK	0	0.869	BEC	NK	Bladder
CLEC2B_KLRF1	DC.NK	0	0.915	DC	NK	Bladder
CLEC2B_KLRF1	Epithelial_S100P_high.NK	0	0.712	Epithelial_S100P_high	NK	Bladder
CLEC2B_KLRF1	Fib.NK	0	0.752	Fib	NK	Bladder
CLEC2B_KLRF1	FibSmo.NK	0	0.687	FibSmo	NK	Bladder
CLEC2B_KLRF1	Mac.NK	0	0.797	Mac	NK	Bladder
CLEC2B_KLRF1	Mon.NK	0	0.714	Mon	NK	Bladder
CLEC2B_KLRF1	NK.NK	0	0.888	NK	NK	Bladder
CLEC2B_KLRF1	TEFF_CD8.NK	0	0.805	TEFF_CD8	NK	Bladder
